town,Mature Estates,zone
ANG MO KIO,1,north
BEDOK,1,east
BISHAN,1,north
BUKIT MERAH,1,south
BUKIT TIMAH,1,west
CENTRAL,1,central
CLEMENTI,1,central
GEYLANG,1,east
KALLANG/WHAMPOA,1,central
MARINE PARADE,1,east
PASIR RIS,1,east
QUEENSTOWN,1,south
SERANGOON,1,east
TAMPINES,1,east
TOA PAYOH,1,south
BUKIT BATOK,0,west
BUKIT PANJANG,0,west
CHOA CHU KANG,0,west
HOUGANG,0,east
JURONG EAST,0,west
JURONG WEST,0,west
PUNGGOL,0,north
SEMBAWANG,0,north
SENGKANG,0,north
TENGAH,0,north
WOODLANDS,0,north
YISHUN,0,north
