Id,Predicted
114982,321478.3264
95653,482250.0765
40303,306242.9876
109506,439489.0271
100149,477839.1288
7610,305435.0324
61101,311401.9512
68167,429668.1524
65701,327939.0339
56039,286265.7425
81919,398705.8948
99768,442126.5853
124053,690747.1667
3942,419153.2879
118904,527062.1657
30060,452043.9048
185729,491512.9167
46357,522323.1673
20662,403024.0201
102274,502300.5572
53369,288564.5075
9719,339584.5652
20145,298176.3531
159051,501023.5189
31481,284652.728
142247,359257.44
29119,339642.2148
151448,458230.8837
60594,302247.4921
83400,544611.1248
40168,310057.0153
52407,391000.0515
127232,436272.4144
131188,378201.1
952,239096.9252
166230,397909.0306
144844,398247.707
33207,308745.9361
28355,590950.6487
179918,590777.281
162451,706928.5221
19390,259951.2532
114861,443073.9182
132259,405047.6029
180033,718416.5267
97052,440017.1478
94224,449028.7107
32295,381065.8522
171908,566293.4735
80236,531272.2366
156193,461480.1277
54494,348109.8438
174530,623056.8985
143835,350420.0238
26275,415961.3365
61627,358529.9267
49813,251280.7913
3466,549048.5354
117691,489377.1123
132738,580480.266
114211,520628.5884
116741,450767.2741
39246,366741.0677
150011,410353.7899
182319,568396.1561
32441,332166.9116
18842,317713.0999
99428,395443.538
96435,466113.1356
134803,412077.2367
171636,570585.141
115944,512814.2216
149001,463228.5317
19084,340673.1583
178128,583528.5649
74818,381451.2704
49603,292646.1346
86262,469669.2975
14520,320137.9674
57209,701105.5147
148575,608260.9038
33,187104.4835
180401,584300.6679
87114,523170.9463
16450,354786.3624
28848,335483.978
11519,300464.1519
7202,307213.2302
2843,245605.9208
156073,550578.9159
132217,413967.6454
140349,501336.7619
34614,317948.1635
135594,419148.0368
170933,508899.2025
62586,423129.6325
145868,363777.5352
15155,268518.4295
61290,330698.3608
184569,741905.5661
169996,330056.0538
7026,370626.5062
128356,378571.7553
134501,459998.728
163406,656639.8328
56796,410513.9531
174870,699486.5794
142554,579477.2725
59547,337381.7015
143113,463490.9914
154091,593253.4906
61191,402870.5313
135899,409979.4816
172405,548396.0668
184121,531461.6597
1063,382421.1974
6348,295160.3232
79995,518138.5594
50573,307861.8445
79894,421771.4486
113553,389753.2262
31931,364033.9563
86645,348173.2962
123780,372573.3769
142940,489572.2769
138987,533972.4048
41502,314073.3611
100104,578557.6115
83570,460092.2845
181648,587753.1825
68406,416723.8782
114567,375251.4206
5470,388209.1615
176926,719237.7598
173013,475858.4722
110219,457393.1862
52178,285211.4338
120569,434139.4192
132710,523170.9463
10478,349440.1182
100309,693994.5951
76446,371913.3201
140674,455543.621
122786,399591.4867
66214,415974.7813
120240,344148.1541
113802,423330.3294
169747,410302.3056
45819,373026.554
36170,298827.9466
84049,455299.5604
104675,485663.6797
66165,476175.1545
92499,403349.6104
107783,492789.6326
148441,450796.1731
12344,306332.504
93256,506224.1344
48139,418645.5467
101908,378574.1845
134084,382337.782
17216,278971.3789
185201,652497.2612
185016,632173.5874
25318,305244.7019
65253,331069.2897
57696,294497.172
30939,343976.0411
128338,395454.8657
104156,416010.63
41455,374647.2152
126390,349910.8095
165803,502260.7258
108253,363317.898
15221,303553.9594
129322,379379.2756
86142,621982.9489
150957,487521.3967
97028,392361.9361
3219,327514.7619
172533,435246.6232
147313,449544.8811
168865,427879.89
138278,479289.7078
82280,330641.4178
4380,307947.3675
4327,349443.6935
109861,377806.9793
45273,453078.2143
102888,728334.8221
77664,457393.1862
58355,304172.318
91308,426655.4044
169692,435246.6232
154931,459998.728
