Symbol,DaysBetterThanSP,daysProfit,daysProfitGrouped,Year,Month,Day,dayOfWeek,closeDay0,volumeDay0,closeDay6,volumeDay6,closeDay29,volumeDay29,closeDay59,volumeDay59,closeDay89,volumeDay89,closeDay179,volumeDay179,closeDay261,volumeDay261,Name,MarketCap,Sector,ipoDate,CEOInChargeDuringIPO,presidentInChargeDuringIPO,stateCountry,Revenue,netIncome,employees_x,MarketMonthTrend,Market3MonthTrend,Market6MonthTrend,Profit_Ratio,Profitable
AAC,131,262,200+,2014,10,2,3,18.5,2799073.0,19.0,34775.0,25.0,182185.0,29.35,27941.0,27.34,54144.0,43.39,343394.0,24.43,295123.0,"AAC Holdings, Inc.",270769100.4,Health Care,2014-10-02,1,0,USA,317.64,-20580000.0,2100,-2.452645015,-1.194497793,0.138536036,1.3205405405405406,True
AAOI,125,262,200+,2013,9,26,3,9.96,948999.0,10.2,109774.0,13.12,99898.0,15.2,77207.0,13.61,26069.0,20.34,107340.0,16.81,230281.0,"Applied Optoelectronics, Inc.",584436818.2,Technology,2013-09-26,0,0,USA,382.33,73950000.0,3054,0.761732428,0.926397583,1.286165325,1.687751004016064,True
AAT,123,127,100 - 149,2011,1,13,3,21.25,15536889.0,21.25,636750.0,21.22,171652.0,21.95,244879.0,21.88,100573.0,18.55,207055.0,20.69,87872.0,"American Assets Trust, Inc.",1604955992.0,Consumer Services,2011-01-13,0,0,USA,311.68,29080000.0,194,1.692499088,1.824305221,1.813735696,0.9736470588235294,False
AAWW,96,224,200+,2004,7,21,2,16.75,0.0,16.75,841300.0,14.0,60100.0,21.75,0.0,22.0,425456.0,27.0,12000.0,31.0,33325.0,Atlas Air Worldwide Holdings,1640543826.0,Transportation,2004-07-21,0,0,USA,2160.0,224340000.0,2870,-1.931597836,-1.498699601,-1.793099471,1.8507462686567164,True
ABG,107,39,0 - 49,2002,3,14,3,16.8,4777800.0,15.56,30600.0,19.55,384400.0,16.35,253100.0,12.4,94900.0,8.27,20200.0,6.12,25200.0,Asbury Automotive Group Inc,1424192393.0,Consumer Durables,2002-03-14,0,0,USA,6460.0,139100000.0,8000,0.957769454,0.878586517,0.955312501,0.36428571428571427,False
ABR,124,177,150 - 200,2004,4,7,2,20.5,3707500.0,19.6,22700.0,19.08,25900.0,19.77,23000.0,19.68,86600.0,23.35,36700.0,25.45,30900.0,Arbor Realty Trust,540361477.8,Consumer Services,2004-04-07,1,1,USA,363.66,73390000.0,445,1.086594456,0.382717891,1.007190925,1.2414634146341463,True
AC,115,262,200+,2015,11,9,0,26.0,700.0,26.8,0.0,30.57,44355.0,27.08,19834.0,28.28,13597.0,30.28,17793.0,33.4,20281.0,"Associated Capital Group, Inc.",863869959.2,Finance,2015-11-09,0,0,USA,66.81,8840000.0,71,0.501547503,1.096904316,0.379330843,1.2846153846153845,True
ACAD,110,185,150 - 200,2004,5,27,3,6.7,1919155.0,6.02,94124.0,6.08,1880.0,5.7,900.0,7.8,87838.0,7.35,9538.0,8.65,51211.0,ACADIA Pharmaceuticals Inc.,2366842897.0,Health Care,2004-05-27,0,0,USA,124.9,-289400000.0,425,1.138070196,-0.004545397,0.118417922,1.291044776119403,True
ACBI,127,210,200+,2015,11,2,0,15.0,1777.0,14.25,16362.0,14.53,38919.0,13.5,5625.0,13.29,364005.0,14.78,129445.0,14.8,45950.0,"Atlantic Capital Bancshares, Inc.",489673225.0,Finance,2015-11-02,0,0,USA,112.0,-3730000.0,353,1.840506299,1.498255235,0.744785888,0.9866666666666667,False
ACRE,117,4,0 - 49,2012,4,26,3,18.0,3160539.0,17.53,243367.0,17.17,72579.0,16.74,57842.0,16.61,95385.0,16.67,82332.0,16.7,30493.0,Ares Commercial Real Estate Corporation,353482601.8,Consumer Services,2012-04-26,0,0,USA,97.54,30410000.0,1000,0.634141247,1.031009076,1.277660046,0.9277777777777777,False
ACRS,128,262,200+,2015,10,7,2,11.05,1158745.0,15.56,187152.0,18.81,26353.0,24.09,77119.0,19.6,11300.0,19.39,86419.0,24.62,79149.0,"Aclaris Therapeutics, Inc.",549428527.8,Health Care,2015-10-07,1,1,USA,1.68,-68520000.0,96,1.472140962,-0.285172202,-0.905834407,2.228054298642534,True
ADAP,124,50,50 - 99,2015,5,6,2,16.0,8301712.0,16.93,373213.0,21.12,304858.0,15.3,291797.0,11.21,38335.0,8.51,774794.0,8.75,130842.0,Adaptimmune Therapeutics plc,802097206.6,Health Care,2015-05-06,1,0, the United Kingdom,38.24,-70890000.0,371,-1.429679341,-0.365350144,0.426520645,0.546875,False
ADMS,125,253,200+,2014,4,10,3,14.01,2331496.0,13.01,0.0,18.82,72974.0,18.36,72316.0,16.79,32375.0,14.63,157587.0,17.94,351321.0,"Adamas Pharmaceuticals, Inc.",653291975.8,Health Care,2014-04-10,1,0,USA,0.571,-89490000.0,147,-2.038561597,-0.173444039,0.457264081,1.2805139186295504,True
ADRO,124,59,50 - 99,2015,4,15,2,42.0,6884160.0,36.39,467687.0,31.51,181358.0,31.64,222703.0,21.57,227688.0,26.98,323967.0,13.2,696456.0,"Aduro Biotech, Inc.",607548645.0,Health Care,2015-04-15,1,1,USA,17.24,-91860000.0,162,1.505896558,1.117827181,1.173114629,0.3142857142857143,False
ADSW,130,250,200+,2016,10,6,3,20.0,11662315.0,19.45,556167.0,19.78,201842.0,21.85,313289.0,22.13,147399.0,23.4,285203.0,24.48,203118.0,"Advanced Disposal Services, Inc.",2013287128.0,Public Utilities,2016-10-06,1,0,USA,1510.0,38300000.0,5939,0.258921318,-0.23525242,0.804698134,1.224,True
ADVM,134,222,200+,2014,7,31,3,27.99,6316019.0,23.54,80289.0,30.74,54753.0,32.64,56930.0,41.17,189531.0,40.48,214252.0,14.72,301027.0,"Adverum Biotechnologies, Inc.",395126267.2,Health Care,2014-07-31,0,0,USA,1.85,-56150000.0,78,-3.612448606,-0.179197965,0.661777887,0.525902107895677,False
AFI,130,255,200+,2016,3,17,3,12.81,1099.0,12.7,0.0,15.07,360924.0,19.15,180284.0,19.28,89426.0,19.51,324567.0,19.08,480213.0,"Armstrong Flooring, Inc.",356396635.7,Consumer Non-Durables,2016-03-17,1,1,USA,1130.0,-41800000.0,3600,1.696076953,1.299546376,0.618157953,1.4894613583138172,True
AGIO,131,172,150 - 200,2013,7,24,2,31.28,6203443.0,29.15,68217.0,23.58,95038.0,26.43,60069.0,17.23,144292.0,37.38,354013.0,38.51,262743.0,"Agios Pharmaceuticals, Inc.",4931246261.0,Health Care,2013-07-24,0,0,USA,43.01,-314670000.0,382,1.039196167,1.613120558,1.7388922,1.2311381074168797,True
AHGP,117,22,0 - 49,2006,5,10,2,25.0,5216148.0,24.01,98391.0,20.78,75493.0,21.07,91599.0,20.95,26360.0,20.03,213027.0,28.32,45017.0,"Alliance Holdings GP, L.P.",1400195570.0,Energy,2006-05-10,1,1,USA,1800.0,185990000.0,3321,1.352068496,1.823234671,1.934278726,1.1328,True
AHL,116,127,100 - 149,2003,12,4,3,24.05,6085900.0,23.75,463500.0,26.77,375300.0,25.59,55400.0,25.82,9100.0,24.0,3700.0,23.92,19300.0,Aspen Insurance Holdings Limited,2617815561.0,Finance,2003-12-04,1,0, Bermuda,2630.0,-267700000.0,1334,1.638821989,1.817335102,1.974953367,0.9945945945945946,False
AHP,117,31,0 - 49,2013,11,6,2,20.009,8945.0,21.14,0.0,19.59,270911.0,16.42,250856.0,16.22,141924.0,17.59,103875.0,17.42,522591.0,"Ashford Hospitality Prime, Inc.",336941002.9,Consumer Services,2013-11-06,0,0, Canada,12.32,144000.0,152,1.035393677,1.854273101,2.252402536,0.8706082262981659,False
AKAO,114,89,50 - 99,2014,3,12,2,14.3,3362057.0,18.65,106899.0,13.93,241263.0,14.05,90544.0,12.2,105589.0,9.44,14725.0,10.49,23960.0,"Achaogen, Inc.",546096755.5,Health Care,2014-03-12,0,0,USA,11.18,-125620000.0,230,0.967343267,1.326369929,1.465309237,0.7335664335664336,False
AKBA,117,132,100 - 149,2014,3,20,3,26.695,4677213.0,20.0,97172.0,24.37,117715.0,27.57,94796.0,23.19,82184.0,13.12,96927.0,12.46,100634.0,"Akebia Therapeutics, Inc.",481044401.5,Health Care,2014-03-20,1,1,USA,177.98,-76910000.0,114,1.001225048,1.298116713,1.439835639,0.4667540737965912,False
ALDR,129,262,200+,2014,5,8,3,10.03,1950841.0,10.02,22991.0,17.55,339161.0,17.15,65001.0,13.74,49532.0,30.56,738803.0,37.23,699033.0,"Alder BioPharmaceuticals, Inc.",987142131.0,Health Care,2014-05-08,0,0,USA,1.62,-288880000.0,193,0.543696736,0.812147001,1.217626987,3.711864406779661,True
AMID,131,84,50 - 99,2011,7,27,2,20.95,2423557.0,20.45,154576.0,18.75,45360.0,17.87,17893.0,18.73,21202.0,22.04,5636.0,20.55,5312.0,"American Midstream Partners, LP",599878735.2,Public Utilities,2011-07-27,0,0,USA,651.55,-263020000.0,490,-1.074911677,-0.532353159,-0.533116072,0.9809069212410502,False
AMPH,128,262,200+,2014,6,25,2,8.75,4159688.0,9.07,29254.0,8.75,39095.0,12.18,182281.0,10.21,96243.0,14.02,97242.0,18.19,324386.0,"Amphastar Pharmaceuticals, Inc.",889004412.1,Health Care,2014-06-25,1,0,USA,240.18,4510000.0,1644,1.218119892,1.772708681,2.083615689,2.078857142857143,True
AMRC,126,241,200+,2010,7,22,3,10.17,3445546.0,10.0,76703.0,11.87,157238.0,12.95,94631.0,13.0,86936.0,13.87,155527.0,14.43,56112.0,"Ameresco, Inc.",548383107.8,Basic Industries,2010-07-22,1,1,USA,717.15,37490000.0,1049,1.063053863,-0.215313235,-0.527504348,1.4188790560471976,True
ANDE,89,2,0 - 49,1996,2,20,1,5.1667,704100.0,3.8333,111600.0,3.6043,7200.0,3.0833,170100.0,3.1667,12900.0,2.9583,6900.0,3.0417,42900.0,"The Andersons, Inc.",946863309.0,Consumer Services,1996-02-20,0,0,USA,3690.0,42510000.0,1843,0.0,0.0,0.0,0.5887123308881879,False
ANDX,135,247,200+,2011,4,20,2,23.5,9940036.0,23.92,227759.0,24.84,226776.0,25.02,87712.0,22.87,38975.0,33.02,42943.0,35.47,22309.0,Andeavor Logistics LP,10421720708.0,Energy,2011-04-20,1,0,USA,3210.0,269000000.0,250,0.965030836,1.001103,1.191617571,1.5093617021276595,True
ANGO,123,246,200+,2004,5,27,3,12.5,1601979.0,12.91,50273.0,14.82,10205.0,11.52,1400.0,11.901,2300.0,20.54,125234.0,20.39,34411.0,"AngioDynamics, Inc.",748603652.0,Health Care,2004-05-27,0,0,USA,351.48,5010000.0,1250,1.138070196,-0.004545397,0.118417922,1.6312,True
ANH,83,28,0 - 49,1998,3,12,3,8.938,364800.0,8.875,12700.0,8.375,10800.0,8.813,5900.0,7.25,7500.0,4.125,20500.0,4.625,0.0,Anworth Mortgage Asset  Corporation,465515997.2,Consumer Services,1998-03-12,0,0,USA,145.4,54370000.0,1583,1.900286297,1.937952997,2.551992937,0.5174535690311031,False
AREX,134,225,200+,2007,11,8,3,12.59,1969703.0,12.52,50168.0,12.8,12510.0,13.5,82212.0,15.44,102719.0,22.42,299594.0,12.87,74656.0,Approach Resources Inc.,252812925.1,Energy,2007-11-08,0,0,USA,105.35,-112360000.0,97,-2.067937937,-0.607487975,-0.908293836,1.022239872915012,True
